sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt"
"admin__admin_ZW1haWxfZGF0YQ__search10_1559274441.16","search index=""maildata"" sourcetype=""email_log"" | transaction pid | table stat pid qid msgid to from delay size","Jonathons-MacBook-Air.local","1559274441.948185",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search10,0,completed,"1.336",,,,,,,,,,,,,,,,,,,,,
"rt_md_1559274745.2","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1559274745.486179",1,"UI:Search",0,1559274745,0,,0,failed,"35.285000000000004",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search1_1559274757.8","search index=""maildata"" sourcetype=""email_log"" milter_action=* | stats count","Jonathons-MacBook-Air.local","1559274757.800914",0,"UI:Dashboard:mail_dashboard",65013,1559274757,1,search1,65013,completed,"11.766",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search2_1559274757.9","search index=""maildata"" stat=sent | stats count","Jonathons-MacBook-Air.local","1559274757.810185",0,"UI:Dashboard:mail_dashboard",22233,1559274758,1,search2,22233,completed,"2.388",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search3_1559274757.10","search index=""maildata"" stat=sent | timechart span=1h count","Jonathons-MacBook-Air.local","1559274757.821710",0,"UI:Dashboard:mail_dashboard",22233,1559274758,25,search3,22233,completed,"2.604",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search4_1559274757.11","search index=""maildata"" sourcetype=""email_log"" stat=Sent | timechart span=1h avg(delay)","Jonathons-MacBook-Air.local","1559274757.851693",0,"UI:Dashboard:mail_dashboard",22233,1559274758,25,search4,22233,completed,"3.063",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search5_1559274757.12","search index=""maildata"" sourcetype=""email_log"" from!=""<>"" | eval sender=trim(from,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559274757.927755",0,"UI:Dashboard:mail_dashboard",93283,1559274758,10,search5,93283,completed,"13.298",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search6_1559274757.13","search index=""maildata"" sourcetype=""email_log""  | eval sender=trim(to,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559274757.942151",0,"UI:Dashboard:mail_dashboard",326558,1559274758,10,search6,326558,completed,"10.905",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search7_1559274757.14","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats sum(size) as size by qid","Jonathons-MacBook-Air.local","1559274757.993078",0,"UI:Dashboard:mail_dashboard",97126,1559274758,97126,search7,97126,completed,"27.643",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search8_1559274758.15","search index=""maildata"" sourcetype=""email_log"" | transaction qid | table qid pid stat to from size _raw","Jonathons-MacBook-Air.local","1559274758.007549",0,"UI:Dashboard:mail_dashboard",4999,1559274758,4999,search8,326558,completed,"27.669",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search9_1559274758.16","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | eval recipient=trim(to,""<>"") | stats count values(recipient) as Recipient by qid | top Recipient | fields - percent","Jonathons-MacBook-Air.local","1559274758.047442",0,"UI:Dashboard:mail_dashboard",324693,1559274758,10,search9,324693,completed,"28.192",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search10_1559274758.17","search index=""maildata"" sourcetype=""email_log"" | transaction pid | table stat pid qid msgid to from delay size","Jonathons-MacBook-Air.local","1559274758.064641",0,"UI:Dashboard:mail_dashboard",4999,1559274758,4999,search10,326558,completed,"28.308",,,,,,,,,,,,,,,,,,,,,
"1559305141.464","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats sum(size) as size by qid","Jonathons-MacBook-Air.local","1559305141.092763",0,"UI:Search",97126,1559305141,97126,,97126,completed,"7.715","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305170.465","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats values(size) as size valued(t0) as to  by qid","Jonathons-MacBook-Air.local","1559305170.648978",0,"UI:Search",0,1559305171,0,,0,failed,"0.005","1550466317.000000000",,,,,,,,,,,,,,,,,,,,
"1559305175.466","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats values(size) as size valued(to) as to  by qid","Jonathons-MacBook-Air.local","1559305175.959012",0,"UI:Search",0,1559305176,0,,0,failed,"0.005","1550466317.000000000",,,,,,,,,,,,,,,,,,,,
"1559305183.467","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats values(size) as size values(to) as to  by qid","Jonathons-MacBook-Air.local","1559305183.020031",0,"UI:Search",97126,1559305183,97126,,97126,completed,"6.2540000000000004","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305196.468","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid","Jonathons-MacBook-Air.local","1559305196.526731",0,"UI:Search",324693,1559305196,106268,,324693,completed,"11.709","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305223.472","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=*","Jonathons-MacBook-Air.local","1559305223.139597",0,"UI:Search",324693,1559305223,22234,,324693,completed,"6.843","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305243.477","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=* | top size","Jonathons-MacBook-Air.local","1559305243.454455",0,"UI:Search",324693,1559305243,10,,324693,completed,"6.746","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305261.478","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=* | sort - size | head 10","Jonathons-MacBook-Air.local","1559305261.490797",0,"UI:Search",324693,1559305261,10,,324693,completed,"7.1530000000000005","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305286.479","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=* | sort - size | fields - qid | head 10","Jonathons-MacBook-Air.local","1559305286.157295",0,"UI:Search",324693,1559305286,10,,324693,completed,"6.7010000000000005","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305326.482","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | eval recipient=trim(to,""<>"") | stats count values(recipient) as Recipient by qid | top Recipient | fields - percent","Jonathons-MacBook-Air.local","1559305326.122979",0,"UI:Search",324693,1559305326,10,,324693,completed,"7.424","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305349.483","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=* |eval recipient=trim(to,""<>"") | sort - size | fields - qid | head 10","Jonathons-MacBook-Air.local","1559305349.782455",0,"UI:Search",324693,1559305350,10,,324693,completed,"6.724","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305368.484","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as size values(to) as to  by qid | search to=* |eval recipient=trim(to,""<>"") | sort - size | fields -size recipient| head 10","Jonathons-MacBook-Air.local","1559305368.023766",0,"UI:Search",324693,1559305368,10,,324693,completed,"7.2410000000000005","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305395.486","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - size | fields -size recipient| head 10","Jonathons-MacBook-Air.local","1559305395.072137",0,"UI:Search",324693,1559305395,0,,324693,completed,"6.212","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305430.487","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - size | fields Message_Size Recipient| head 10","Jonathons-MacBook-Air.local","1559305430.389941",0,"UI:Search",324693,1559305430,10,,324693,completed,"6.488","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305508.489","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - size | table Message_Size Recipient| head 10","Jonathons-MacBook-Air.local","1559305508.260219",0,"UI:Search",324693,1559305508,10,,324693,completed,"8.075","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305524.490","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - size | table Recipient Message_Size | head 10","Jonathons-MacBook-Air.local","1559305524.246307",0,"UI:Search",324693,1559305524,10,,324693,completed,"6.4750000000000005","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305542.491","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - Message_Size | table Recipient Message_Size | head 10","Jonathons-MacBook-Air.local","1559305542.279475",0,"UI:Search",324693,1559305542,10,,324693,completed,"6.86","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search11_1559305648.492","search index=""maildata"" sourcetype=""email_log"" milter_action=* | stats count","Jonathons-MacBook-Air.local","1559305648.433138",0,"UI:Dashboard:mail_dashboard",65013,1559305649,1,search11,65013,completed,"13.224",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search12_1559305648.493","search index=""maildata"" stat=sent | stats count","Jonathons-MacBook-Air.local","1559305648.482342",0,"UI:Dashboard:mail_dashboard",22233,1559305649,1,search12,22233,completed,"2.652",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search13_1559305648.494","search index=""maildata"" stat=sent | timechart span=1h count","Jonathons-MacBook-Air.local","1559305648.491951",0,"UI:Dashboard:mail_dashboard",22233,1559305649,25,search13,22233,completed,"2.888",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search14_1559305648.495","search index=""maildata"" sourcetype=""email_log"" stat=Sent | timechart span=1h avg(delay)","Jonathons-MacBook-Air.local","1559305648.494881",0,"UI:Dashboard:mail_dashboard",22233,1559305649,25,search14,22233,completed,"3.069",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search15_1559305648.497","search index=""maildata"" sourcetype=""email_log"" from!=""<>"" | eval sender=trim(from,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559305648.512374",0,"UI:Dashboard:mail_dashboard",93283,1559305649,10,search15,93283,completed,"14.709",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search16_1559305648.498","search index=""maildata"" sourcetype=""email_log""  | eval sender=trim(to,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559305648.517759",0,"UI:Dashboard:mail_dashboard",326558,1559305649,10,search16,326558,completed,"12.146",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search18_1559305648.499","search index=""maildata"" sourcetype=""email_log"" | transaction qid | table qid pid stat to from size _raw","Jonathons-MacBook-Air.local","1559305648.562916",0,"UI:Dashboard:mail_dashboard",4999,1559305649,4999,search18,326558,completed,"26.645",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search19_1559305648.500","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | eval recipient=trim(to,""<>"") | stats count values(recipient) as Recipient by qid | top Recipient | fields - percent","Jonathons-MacBook-Air.local","1559305648.584778",0,"UI:Dashboard:mail_dashboard",324693,1559305649,10,search19,324693,completed,"26.907",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search20_1559305648.501","search index=""maildata"" sourcetype=""email_log"" | transaction pid | table stat pid qid msgid to from delay size","Jonathons-MacBook-Air.local","1559305648.603640",0,"UI:Dashboard:mail_dashboard",4999,1559305649,4999,search20,326558,completed,"26.993000000000002",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search1_1559305726.503","search index=""maildata"" sourcetype=""email_log"" milter_action=* | stats count","Jonathons-MacBook-Air.local","1559305726.597100",0,"UI:Dashboard:mail_dashboard",65013,1559305727,1,search1,65013,completed,"14.043000000000001",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search2_1559305726.504","search index=""maildata"" stat=sent | stats count","Jonathons-MacBook-Air.local","1559305726.606565",0,"UI:Dashboard:mail_dashboard",22233,1559305727,1,search2,22233,completed,"2.737",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search3_1559305726.505","search index=""maildata"" stat=sent | timechart span=1h count","Jonathons-MacBook-Air.local","1559305726.619675",0,"UI:Dashboard:mail_dashboard",22233,1559305727,25,search3,22233,completed,"2.775",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search4_1559305726.506","search index=""maildata"" sourcetype=""email_log"" stat=Sent | timechart span=1h avg(delay)","Jonathons-MacBook-Air.local","1559305726.626600",0,"UI:Dashboard:mail_dashboard",22233,1559305727,25,search4,22233,completed,"3.352",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search5_1559305726.507","search index=""maildata"" sourcetype=""email_log"" from!=""<>"" | eval sender=trim(from,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559305726.705870",0,"UI:Dashboard:mail_dashboard",93283,1559305727,10,search5,93283,completed,"16.439",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search6_1559305726.508","search index=""maildata"" sourcetype=""email_log""  | eval sender=trim(to,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559305726.754953",0,"UI:Dashboard:mail_dashboard",326558,1559305727,10,search6,326558,completed,"13.171000000000001",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search7_1559305726.509","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats sum(size) as size by qid","Jonathons-MacBook-Air.local","1559305726.808604",0,"UI:Dashboard:mail_dashboard",97126,1559305727,97126,search7,97126,completed,"31.956",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search8_1559305726.510","search index=""maildata"" sourcetype=""email_log"" | transaction qid | table qid pid stat to from size _raw","Jonathons-MacBook-Air.local","1559305726.820050",0,"UI:Dashboard:mail_dashboard",4999,1559305727,4999,search8,326558,completed,"31.859",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search9_1559305726.511","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | eval recipient=trim(to,""<>"") | stats count values(recipient) as Recipient by qid | top Recipient | fields - percent","Jonathons-MacBook-Air.local","1559305726.840403",0,"UI:Dashboard:mail_dashboard",324693,1559305727,10,search9,324693,completed,"33.007",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search11_1559305726.512","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - Message_Size | table Recipient Message_Size | head 10","Jonathons-MacBook-Air.local","1559305726.908479",0,"UI:Dashboard:mail_dashboard",324693,1559305730,10,search11,324693,completed,"31.441","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search10_1559305726.513","search index=""maildata"" sourcetype=""email_log"" | transaction pid | table stat pid qid msgid to from delay size","Jonathons-MacBook-Air.local","1559305726.970141",0,"UI:Dashboard:mail_dashboard",4999,1559305727,4999,search10,326558,completed,"32.714",,,,,,,,,,,,,,,,,,,,,
"1559305928.519","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(msgid) as msgid values(to) as to values(from) as from by qid","Jonathons-MacBook-Air.local","1559305928.095417",0,"UI:Search",324693,1559305928,106268,,324693,completed,"15.815","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305960.520","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(msgid) as msgid values(to) as to values(from) as from by qid | search to=*","Jonathons-MacBook-Air.local","1559305960.271015",0,"UI:Search",324693,1559305960,22234,,324693,completed,"12.543000000000001","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559305987.523","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(msgid) as msgid values(to) as to values(from) as from by qid | search to=* from!=""<>""","Jonathons-MacBook-Air.local","1559305987.396206",0,"UI:Search",324693,1559305987,19258,,324693,completed,"11.202","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306022.524","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats count values(msgid) as msgid values(to) as to values(from) as from by qid | search to=* from!=""<>""","Jonathons-MacBook-Air.local","1559306022.803566",0,"UI:Search",324693,1559306022,19258,,324693,completed,"10.457","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306072.525","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(stat) as stat values(msgid) as msgid values(to) as to values(from) as from by qid | search to=* from!=""<>""","Jonathons-MacBook-Air.local","1559306072.246065",0,"UI:Search",324693,1559306072,19258,,324693,completed,"14.206","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306096.529","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(stat) as stat values(msgid) as msgid values(to) as to values(from) as from by qid | search stat!=""Sent""","Jonathons-MacBook-Air.local","1559306096.833213",0,"UI:Search",324693,1559306096,5,,324693,completed,"14.227","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306213.532","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(stat) as stat values(size) as Message_Size values(msgid) as Message-ID values(to) as to values(from) as Sender by qid | search stat!=""Sent"" | table Message-ID Sender Message_Size","Jonathons-MacBook-Air.local","1559306213.072766",0,"UI:Search",324693,1559306213,0,,324693,failed,"42.101","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306225.533","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(stat) as stat values(size) as Message_Size values(msgid) as Message-ID values(to) as to values(from) as Sender by qid | search stat!=""Sent"" | table Message-ID Sender Message_Size","Jonathons-MacBook-Air.local","1559306225.267647",0,"UI:Search",324693,1559306225,5,,324693,completed,"13.133000000000001","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306267.534","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | stats values(stat) as stat values(size) as Message_Size values(msgid) as Message-ID values(to) as to values(from) as from by qid | search stat!=""Sent"" | eval Sender=trim(from,""<>"") | table Message-ID Sender Message_Size","Jonathons-MacBook-Air.local","1559306267.281407",0,"UI:Search",324693,1559306267,5,,324693,completed,"10.986","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search1_1559306348.535","search index=""maildata"" sourcetype=""email_log"" milter_action=* | stats count","Jonathons-MacBook-Air.local","1559306348.875092",0,"UI:Dashboard:mail_dashboard",65013,1559306349,1,search1,65013,completed,"10.878",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search2_1559306348.536","search index=""maildata"" stat=sent | stats count","Jonathons-MacBook-Air.local","1559306348.888580",0,"UI:Dashboard:mail_dashboard",22233,1559306349,1,search2,22233,completed,"3.261",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search4_1559306348.537","search index=""maildata"" sourcetype=""email_log"" stat=Sent | timechart span=1h avg(delay)","Jonathons-MacBook-Air.local","1559306348.911596",0,"UI:Dashboard:mail_dashboard",22233,1559306349,25,search4,22233,completed,"3.564",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search3_1559306348.538","search index=""maildata"" stat=sent | timechart span=1h count","Jonathons-MacBook-Air.local","1559306348.944598",0,"UI:Dashboard:mail_dashboard",22233,1559306349,25,search3,22233,completed,"3.346",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search5_1559306348.539","search index=""maildata"" sourcetype=""email_log"" from!=""<>"" | eval sender=trim(from,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559306348.965236",0,"UI:Dashboard:mail_dashboard",93283,1559306349,10,search5,93283,completed,"11.718",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search6_1559306348.540","search index=""maildata"" sourcetype=""email_log""  | eval sender=trim(to,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559306348.983069",0,"UI:Dashboard:mail_dashboard",326558,1559306349,10,search6,326558,completed,"10.252",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search7_1559306349.541","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(size) as Message_Size values(to) as to  by qid | search to=* |eval Recipient=trim(to,""<>"") | sort - Message_Size | table Recipient Message_Size | head 10","Jonathons-MacBook-Air.local","1559306349.007081",0,"UI:Dashboard:mail_dashboard",324693,1559306349,10,search7,324693,completed,"21.453","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search8_1559306349.542","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | stats values(stat) as stat values(size) as Message_Size values(msgid) as Message-ID values(to) as to values(from) as from by qid | search stat!=""Sent"" | eval Sender=trim(from,""<>"") | table Message-ID Sender Message_Size","Jonathons-MacBook-Air.local","1559306349.199778",0,"UI:Dashboard:mail_dashboard",324693,1559306349,5,search8,324693,completed,"27.39","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
"1559306986.551","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" |stats values(stat) as stat values(size) as Message_Size values(msgid) as Message-ID values(to) as to values(from) as Sender by qid | search stat!=""Sent"" | table Message-ID Sender Message_Size","Jonathons-MacBook-Air.local","1559306986.758496",0,"UI:Search",324693,1559306987,5,,324693,completed,"12.194","1550466317.000000000","1550466317.000000000",,,,,,,,,,,,,,,,,,,
