sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt","__mv_savedsearch_name"
"admin__admin__search__search12_1528808860.20863","search index=parse_chat | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528808860.220470",0,"UI:Dashboard:parse_chat_travel_drive_post_process",4602,1528808861,5,4602,completed,"1.5190000000000001",,,,,search12,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1528808860.20864","search index=parse_chat filename=*xvideo* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528808860.250393",0,"UI:Dashboard:parse_chat_travel_drive_post_process",911,1528808863,5,911,completed,"1.062",,,,,search14,,,,,,,,,,,,,,,,,
"admin__admin__search__search13_1528808860.20866","search index=parse_chat filename=*haturbate* OR filename=*freecam* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528808860.285087",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3299,1528808863,5,3299,completed,"1.216",,,,,search13,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1528808860.20869","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1528808860.518888",0,"UI:Dashboard:parse_chat_travel_drive_post_process",50,1528808863,79,50,completed,"0.743","1528527600.000000000","1528808860.000000000","1528527600.000000000","1528808860.000000000",search5,,,,,,,,,,,,,,,,,
"rt_md_1528948857.22048","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1528948857.061133",1,"UI:Search",0,1528948857,0,0,failed,"33.704",,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1528948868.22049","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)%"" | stats values(capacity) by fs","Jonathons-MacBook-Air.local","1528948868.086910",0,"UI:Dashboard:parse_chat_travel_drive_post_process",0,1528948869,0,0,completed,"0.183","1528948560.000000000","1528948868.000000000","1528948568.000000000","1528948869.132322000",search3,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch1_1528948868.22051","search index=""parse_chat"" filename=*","Jonathons-MacBook-Air.local","1528948868.190649",0,"UI:Dashboard:parse_chat_travel_drive_post_process",4636,1528948869,4636,4637,completed,"0.585",,,,,baseSearch1,,,,,,,,,,,,,,,,,
"admin__admin__search__search8_1528948870.22054","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""  | eval hours=round((duration / 60 / 60),1) |  sort - hours | top 50 model","Jonathons-MacBook-Air.local","1528948870.448733",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3308,1528948872,50,3308,completed,"2.773",,,,,search8,,,,,,,,,,,,,,,,,
"admin__admin__search__search12_1528948870.22055","search index=parse_chat | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528948870.479719",0,"UI:Dashboard:parse_chat_travel_drive_post_process",4637,1528948872,5,4637,completed,"1.377",,,,,search12,,,,,,,,,,,,,,,,,
"admin__admin__search__search15_1528948870.22058","search index=parse_chat filename=*xhamster* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528948870.526762",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1528948874,5,176,completed,"0.876",,,,,search15,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1528948870.22061","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1528948870.645141",0,"UI:Dashboard:parse_chat_travel_drive_post_process",0,1528948874,0,0,completed,"0.512","1528862400.000000000","1528948870.000000000","1528862400.000000000","1528948870.000000000",search5,,,,,,,,,,,,,,,,,
"1528948890.22066","search index=""parse_chat"" filename=* |  stats count","Jonathons-MacBook-Air.local","1528948890.936357",0,"UI:Search",4636,1528948891,1,4637,completed,"1.012",,,,,,,,,,,,,,,,,,,,,,
"1528948904.22067","search index=""parse_chat"" filename=* |  timechart count","Jonathons-MacBook-Air.local","1528948904.569767",0,"UI:Search",4636,1528948905,43,4637,completed,"2.158",,,,,,,,,,,,,,,,,,,,,,
"rt_md_1529255831.24795","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1529255831.075531",1,"UI:Search",0,1529255831,0,0,failed,"162.261",,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search9_1529255966.24799","search index=parse_chat filename=xhamster* | rex field=filename ""xhamster.com_\d+_(?<words>.+).mp4"" | rex field=words mode=sed ""s/_/ /g"" | rex field=words mode=sed ""s/\d{3}p//"" | rex field=words mode=sed ""s/(\sa\s| an | on | and | the | in | with | for | by | as | at | is |2| gets | me |the| her | my | part | has | ip | to | ft )//g"" | eval all_words=split(words,"" "")  | rex field=words mode=sed ""s/ /|/g"" | stats count by  all_words | where count < 80 AND count > 3 | sort - count","Jonathons-MacBook-Air.local","1529255966.139358",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1529255966,27,176,completed,"0.51",,,,,search9,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1529255966.24801","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1529255966.171747",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3329,1529255967,3329,4709,completed,"0.805",,,,,baseSearch2,,,,,,,,,,,,,,,,,
"admin__admin__search__search13_1529255969.24805","search index=parse_chat filename=*haturbate* OR filename=*freecam* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1529255969.897878",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3329,1529255972,5,3329,completed,"1.98",,,,,search13,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1529255970.24806","search index=parse_chat filename=*xvideo* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1529255970.287255",0,"UI:Dashboard:parse_chat_travel_drive_post_process",988,1529255974,5,988,completed,"1.2590000000000001",,,,,search14,,,,,,,,,,,,,,,,,
"admin__admin__search__search15_1529255970.24807","search index=parse_chat filename=*xhamster* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1529255970.523794",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1529255975,5,176,completed,"1.143",,,,,search15,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1529255970.24810","search index=""parse_chat"" filename=* |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1529255970.802668",0,"UI:Dashboard:parse_chat_travel_drive_post_process",71,1529255975,49,71,completed,"0.759","1529168400.000000000","1529255970.000000000","1529168400.000000000","1529255970.000000000",search4,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1529255970.24811","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1529255970.847401",0,"UI:Dashboard:parse_chat_travel_drive_post_process",21,1529255975,49,21,completed,"0.639","1529168400.000000000","1529255970.000000000","1529168400.000000000","1529255970.000000000",search5,,,,,,,,,,,,,,,,,
"1529256012.24816","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)%""","Jonathons-MacBook-Air.local","1529256012.968732",0,"UI:Search",2,1529256013,2,3,completed,"0.129","1529255700.000000000","1529256012.000000000","1529255712.000000000","1529256013.170321000",,,,,,,,,,,,,,,,,,
"1529256033.24821","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)%"" | table fs","Jonathons-MacBook-Air.local","1529256033.654244",0,"UI:Search",2,1529256034,2,2,completed,"0.159","1529255700.000000000","1529256033.000000000","1529255733.000000000","1529256034.181138000",,,,,,,,,,,,,,,,,,
"1529256057.24822","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)%""","Jonathons-MacBook-Air.local","1529256057.706655",0,"UI:Search",2,1529256058,2,3,completed,"0.32","1529255700.000000000","1529256057.000000000","1529255757.000000000","1529256058.168083000",,,,,,,,,,,,,,,,,,
"1529256075.24823","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)%""","Jonathons-MacBook-Air.local","1529256075.989930",0,"UI:Search",2,1529256076,2,3,completed,"0.135","1529255760.000000000","1529256075.000000000","1529255775.000000000","1529256076.351507000",,,,,,,,,,,,,,,,,,
"1529256127.24824","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)(%)?""","Jonathons-MacBook-Air.local","1529256127.757411",0,"UI:Search",2,1529256127,2,3,completed,"0.151","1529255820.000000000","1529256127.000000000","1529255827.000000000","1529256127.914938000",,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1529256163.24825","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)(%)?"" | stats values(capacity) by fs","Jonathons-MacBook-Air.local","1529256164.006605",0,"UI:Dashboard:parse_chat_travel_drive_post_process",2,1529256164,2,2,completed,"0.108","1529255820.000000000","1529256163.000000000","1529255863.000000000","1529256164.235290000",search3,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1529256225.24827","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)(%)?"" | stats values(capacity) by fs | sort - fs","Jonathons-MacBook-Air.local","1529256226.009651",0,"UI:Dashboard:parse_chat_travel_drive_post_process",2,1529256226,2,2,completed,"0.139","1529255880.000000000","1529256225.000000000","1529255925.000000000","1529256226.440734000",search3,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1529256240.24828","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)(%)?"" | stats values(capacity) by fs | sort fs","Jonathons-MacBook-Air.local","1529256240.256991",0,"UI:Dashboard:parse_chat_travel_drive_post_process",2,1529256240,2,2,completed,"0.101","1529255940.000000000","1529256240.000000000","1529255940.000000000","1529256240.446003000",search3,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1529256259.24829","search index=os earliest=-5m  fs!=*private*| rex field=capacity ""(?<capacity>\d+)(%)?"" | stats values(capacity) by fs","Jonathons-MacBook-Air.local","1529256259.502390",0,"UI:Dashboard:parse_chat_travel_drive_post_process",2,1529256259,2,2,completed,"0.098","1529255940.000000000","1529256259.000000000","1529255959.000000000","1529256259.711486000",search3,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1529256300.24831","search index=""parse_chat"" filename=* |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1529256300.935246",0,"UI:Dashboard:parse_chat_travel_drive_post_process",71,1529256301,97,71,completed,"0.20700000000000002","1529082000.000000000","1529256300.000000000","1529082000.000000000","1529256300.000000000",search4,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1529256329.24833","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1529256329.353713",0,"UI:Dashboard:parse_chat_travel_drive_post_process",21,1529256330,5,21,completed,"0.341","1528873200.000000000","1529256329.000000000","1528873200.000000000","1529256329.000000000",search5,,,,,,,,,,,,,,,,,
"rt_md_1530392095.32059","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1530392095.994758",1,"UI:Search",0,1530392096,0,0,failed,"42.148",,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search9_1530392108.32061","search index=parse_chat filename=xhamster* | rex field=filename ""xhamster.com_\d+_(?<words>.+).mp4"" | rex field=words mode=sed ""s/_/ /g"" | rex field=words mode=sed ""s/\d{3}p//"" | rex field=words mode=sed ""s/(\sa\s| an | on | and | the | in | with | for | by | as | at | is |2| gets | me |the| her | my | part | has | ip | to | ft )//g"" | eval all_words=split(words,"" "")  | rex field=words mode=sed ""s/ /|/g"" | stats count by  all_words | where count < 80 AND count > 3 | sort - count","Jonathons-MacBook-Air.local","1530392108.813973",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1530392109,27,176,canceled,"0.665",,,,,search9,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1530392108.32063","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1530392108.842079",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392109,3349,4785,canceled,"0.977",,,,,baseSearch2,,,,,,,,,,,,,,,,,
"admin__admin__search__search8_1530392111.32065","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""  | eval hours=round((duration / 60 / 60),1) |  sort - hours | top 50 model","Jonathons-MacBook-Air.local","1530392111.780203",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392112,50,3349,canceled,"2.345",,,,,search8,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1530392111.32068","search index=parse_chat filename=*xvideo* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392111.808783",0,"UI:Dashboard:parse_chat_travel_drive_post_process",1044,1530392115,5,1044,canceled,"0.769",,,,,search14,,,,,,,,,,,,,,,,,
"admin__admin__search__search15_1530392111.32069","search index=parse_chat filename=*xhamster* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392111.868412",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1530392115,5,176,canceled,"0.764",,,,,search15,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1530392111.32071","search index=""parse_chat"" filename=* |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1530392111.922117",0,"UI:Dashboard:parse_chat_travel_drive_post_process",33,1530392115,50,33,canceled,"0.47800000000000004","1530302400.000000000","1530392111.000000000","1530302400.000000000","1530392111.000000000",search4,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1530392111.32072","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1530392112.010625",0,"UI:Dashboard:parse_chat_travel_drive_post_process",0,1530392115,0,0,canceled,"0.483","1530302400.000000000","1530392111.000000000","1530302400.000000000","1530392111.000000000",search5,,,,,,,,,,,,,,,,,
"admin__admin__search__search23_1530392369.32083","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | top 100 model","Jonathons-MacBook-Air.local","1530392369.069214",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392371,100,3349,completed,"1.246",,,,,search23,,,,,,,,,,,,,,,,,
"admin__admin__search__search28_1530392369.32085","search index=parse_chat | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392369.424087",0,"UI:Dashboard:parse_chat_travel_drive_post_process",4785,1530392371,5,4785,completed,"0.845",,,,,search28,,,,,,,,,,,,,,,,,
"admin__admin__search__search29_1530392369.32086","search index=parse_chat filename=*haturbate* OR filename=*freecam* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392369.457428",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392371,5,3349,completed,"0.889",,,,,search29,,,,,,,,,,,,,,,,,
"admin__admin__search__search31_1530392369.32088","search index=parse_chat filename=*xhamster* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392369.512421",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1530392371,5,176,completed,"0.919",,,,,search31,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1530392369.32091","search index=parse_chat filename=*  *haturbate* OR *freecam* |  rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1530392369.744107",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392373,3349,4785,completed,"0.971",,,,,baseSearch2,,,,,,,,,,,,,,,,,
"admin__admin__search__search21_1530392438.32105","search index=parse_chat filename=*  *haturbate* OR *freecam* | fields filename |  rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1530392438.467140",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3,1530392439,8,3,canceled,"0.179","1529787600.000000000","1530392438.000000000","1529787600.000000000","1530392438.000000000",search21,,,,,,,,,,,,,,,,,
"admin__admin__search__search36_1530392711.32107","search index=""parse_chat"" filename=* | fields type |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1530392711.105853",0,"UI:Dashboard:parse_chat_travel_drive_post_process",53,1530392713,8,53,completed,"0.759","1529787600.000000000","1530392711.000000000","1529787600.000000000","1530392711.000000000",search36,,,,,,,,,,,,,,,,,
"admin__admin__search__search46_1530392711.32115","search index=parse_chat filename=*xvideo* | fields duration | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392711.240589",0,"UI:Dashboard:parse_chat_travel_drive_post_process",1044,1530392714,5,1044,completed,"0.904",,,,,search46,,,,,,,,,,,,,,,,,
"admin__admin__search__search47_1530392711.32116","search index=parse_chat filename=*xhamster* | fields duration | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1530392711.321004",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1530392713,5,176,completed,"1.048",,,,,search47,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1530392711.32119","search index=parse_chat filename=*  *haturbate* OR *freecam* |  rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1530392711.413636",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392715,3349,4785,completed,"1.145",,,,,baseSearch2,,,,,,,,,,,,,,,,,
"admin__admin__search__search37_1530392734.32133","search index=parse_chat filename=*  *haturbate* OR *freecam* | fields filename |  rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1530392734.491744",0,"UI:Dashboard:parse_chat_travel_drive_post_process",119,1530392734,31,119,canceled,"0.189","1527750000.000000000","1530392734.000000000","1527750000.000000000","1530392734.000000000",search37,,,,,,,,,,,,,,,,,
"admin__admin__search__search37_1530392748.32135","search index=parse_chat filename=*  *haturbate* OR *freecam* | fields filename |  rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1530392748.102755",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3349,1530392748,43,3349,completed,"0.84",,,,,search37,,,,,,,,,,,,,,,,,
"admin__admin__search__search36_1530392765.32136","search index=""parse_chat"" filename=* | fields type |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1530392765.634132",0,"UI:Dashboard:parse_chat_travel_drive_post_process",33,1530392765,85,33,canceled,"0.161","1530342000.000000000","1530392765.000000000","1530342000.000000000","1530392765.000000000",search36,,,,,,,,,,,,,,,,,
"admin__admin__search__search37_1530392790.32139","search index=parse_chat filename=*  *haturbate* OR *freecam* | fields filename |  rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1530392790.317876",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3,1530392790,7,3,completed,"0.149","1529823600.000000000","1530392790.000000000","1529823600.000000000","1530392790.000000000",search37,,,,,,,,,,,,,,,,,
