ERROR_CODE,ERROR_MESSAGE,PROBLEM,SOLUTION,
126,READ CARD ERR,There is a problem with the magnetic stripe on the card that was swiped.,,
127,REFUND LIMIT EXCEEDED,The total value of refunds performed today is greater than your daily refund limit.,Call the merchant service centre for a temporary increase. Please have the original purchase receipt available for reference.,
201,APP EXPIRED,The application on the contactless card is expired.,,
202,COMMSERVER NOT RESPONDING TO VMAC,The Ethernet cable was connected to the base and the wall jack while you configured the static IP parameters.,Power off then power on the terminal (leave the Ethernet cable connected to the base and the wall jack).,
203,CONNECTION FAILED,The IP connection failed.,,
204,HOST LOGON REQUIRED,The terminal has been logged off to protect it from attempts to perform unauthorized transactions.,Perform a Logon transaction.,
205,INIT REQUIRED,"When this message is displayed at the top of the screen (alternating with the date and time), the ,erchant host is requesting a re-initialization of the terminal.",,
206,NO ACTIVITY,There are no transactions associated with that clerk ID.,That clerk ID entered does not exist.,
207,NO CHIP CD ON PRE AUTH,Your terminal is not configured to process Pre Auth transactions using a chip card and a chip card has been inserted during a Pre Auth transaction.,"Remove the chip card, press the red CANC ANNUL key to return to the transactions menu and perform a Purchase transaction with the chip card.",
208,NO LINE,The terminal cannot detect a dial communications line.,,
209,NO MATCH,The information you have used to find a transaction in memory can not be found.,Check the information and try again.,
210,NO NETWORK CONNECTION,Check the communications cable to ensure it is connected to the terminal and the wall jack.,,
211,NOT COMPLETED,"The transaction was not completed, most likely because of a communication error. A ""Not Completed"" receipt is printed.","Check the communication setup: for merchants on dial connection, check Configuring Dial Communications. For merchants on IP connections, check Configuring Dynamic IP Communications or Configuring Static IP Communications.",
212,RECORD NOT FOUND,The information you have used to find a transaction in memory can not be found.,Check the information and try again.,
213,RETRY TRAN?,Select YES to retry the transaction. The terminal will try to send the transaction to the Moneris host using the card data already entered.,Select NO to return to the transactions menu.,
214,SETTLE FAILED,The connection with the Moneris host was lost during the batch close function and the settlement was not completed.,"Try the Batch Close again. If the batch totals are $0, print a Deposit Totals report and a Stored Transactions report then call the merchant service centre.",
215,SYSTEM PROBLEM,This message will be followed by directions,A communication error has occurred.,
216,TABLE FULL,You have tried to add too many clerk IDs or Terminal Names.,You can add a maximum of 255 different clerk IDs and 100 different Terminal Names.,
217,TRANS CANCELLED,This message occurs:,A customer removes their chip card at the Enter PIN & OK prompt,
218,TRANS NOT ALLOWED,You have attempted to perform a transaction that is either not configured on your terminal or not set up in your merchant account.,"If this appears during a Batch Close transaction, your merchant account is set up to close your batches automatically. Simply print a merchant sub-totals report at the end of each business day.",
219,USE MAG STRIPE ON TERMINAL,"Your terminal is configured for Visa Debit Opt Out and you have attempted to perform a Visa Debit transaction. The message appears when you remove the card from the terminal after you receive a ""Card Not Accepted"" message and then press the green OK key at the ""Remove Card"" prompt.",Press the red CANC ANNUL key and request another form of payment.,
