sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5d54e8c3403e85410_1536011195.7122","| rest splunk_server=local /services/server/introspection/kvstore/collectionstats | mvexpand data | spath input=data | fields splunk_server, ns, size","Jonathons-MacBook-Air.local","1536011195.686706",0,splunkjs,0,1536011196,17,"manager_8119",0,completed,"0.11",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__RMD5139f82c3d5c90434_1536011196.7123","| `dmc_get_all_triggered_alerts(1440)`","Jonathons-MacBook-Air.local","1536011196.039041",0,splunkjs,0,1536011197,0,"alerts-fired-search",0,completed,"0.604",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search1_1536011207.7138","| `dmc_get_groups`
          | search search_group=""dmc_group_*""","Jonathons-MacBook-Air.local","1536011207.608555",0,"UI:Dashboard:resource_usage_instance",0,1536011207,4,search1,0,completed,"0.034",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search2_1536011208.7139","| `dmc_get_groups_containing_role(*)`
          | search search_group!=""dmc_group_*""","Jonathons-MacBook-Air.local","1536011208.588850",0,"UI:Dashboard:resource_usage_instance",0,1536011208,0,search2,0,completed,"0.035",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search3_1536011208.7140","| `dmc_get_instance_info(*)`
        | search search_group=""*""","Jonathons-MacBook-Air.local","1536011208.718015",0,"UI:Dashboard:resource_usage_instance",0,1536011208,1,search3,0,completed,"0.032",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search8_1536011208.7141","search `dmc_set_index_introspection` sourcetype=splunk_resource_usage component=PerProcess host=$row.host$
        | `dmc_rename_introspection_fields`
        | `dmc_classify_processes`
        | `dmc_resource_usage_by_processes_timechart(mem_used, Median)`","Jonathons-MacBook-Air.local","1536011208.848382",0,"UI:Dashboard:resource_usage_instance",0,1536011209,0,search8,0,canceled,"0.419","1535996760.000000000","1536011208.000000000","1535996760.000000000","1536011208.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1536011208.7142","search `dmc_set_index_introspection` sourcetype=splunk_resource_usage component=PerProcess host=$row.host$
        | `dmc_rename_introspection_fields`
        | `dmc_classify_processes`
        | `dmc_resource_usage_by_processes_timechart(pct_cpu, Median)`","Jonathons-MacBook-Air.local","1536011208.853420",0,"UI:Dashboard:resource_usage_instance",0,1536011209,0,search9,0,canceled,"0.392","1535996760.000000000","1536011208.000000000","1535996760.000000000","1536011208.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search10_1536011209.7143","| rest splunk_server=Jonathons-MacBook-Air.local /services/server/status/partitions-space
        | stats count by mount_point","Jonathons-MacBook-Air.local","1536011209.167483",0,"UI:Dashboard:resource_usage_instance",0,1536011209,1,search10,0,completed,"0.042",,,,,,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search4_1536011209.7144","| inputlookup dmc_assets
| search serverName = Jonathons-MacBook-Air.local
| stats first(serverName) as serverName, first(host) as host, first(machine) as machine
| join type=outer serverName [
  | rest splunk_server=Jonathons-MacBook-Air.local /services/server/info
  | fields serverName, numberOfCores, numberOfVirtualCores, physicalMemoryMB, os_name, cpu_arch
]
| `dmc_get_core_info`
| fields machine core_info physicalMemoryMB os_name cpu_arch
| rename machine as Machine, core_info AS ""CPU Cores (Physical / Virtual)"", physicalMemoryMB as ""Physical Memory Capacity (MB)"", os_name as ""Operating System"", cpu_arch as ""CPU Architecture""","Jonathons-MacBook-Air.local","1536011209.357462",0,"UI:Dashboard:resource_usage_instance",0,1536011209,1,search4,0,completed,"0.126","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search5_1536011209.7145","| rest splunk_server=Jonathons-MacBook-Air.local /services/server/status/resource-usage/splunk-processes
        | eval sid = 'search_props.sid'
        | `dmc_classify_processes`
        | eval x=""memory_usage""
        | chart sum(mem_used) AS ""Memory Usage"" over x by process_class","Jonathons-MacBook-Air.local","1536011209.361652",0,"UI:Dashboard:resource_usage_instance",0,1536011209,0,search5,0,completed,"0.10300000000000001","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search6_1536011209.7146","| rest splunk_server=Jonathons-MacBook-Air.local /services/server/status/resource-usage/splunk-processes
        | eval sid = 'search_props.sid'
        | `dmc_classify_processes`
        | eval x=""cpu_usage""
        | chart sum(pct_cpu) AS ""CPU Usage"" over x by process_class","Jonathons-MacBook-Air.local","1536011209.369629",0,"UI:Dashboard:resource_usage_instance",0,1536011209,0,search6,0,completed,"0.043000000000000003","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search7_1536011209.7147","| rest splunk_server=Jonathons-MacBook-Air.local /services/server/status/partitions-space
        | eval free = if(isnotnull(available), available, free)
        | eval usage = round((capacity - free) / 1024, 2)
        | eval capacity = round(capacity / 1024, 2)
        | eval compare_usage = usage."" / "".capacity
        | eval pct_usage = round(usage / capacity * 100, 2)
        | stats first(fs_type) as fs_type first(compare_usage) AS compare_usage first(pct_usage) as pct_usage by mount_point        
        | rename mount_point as ""Mount Point"", fs_type as ""File System Type"", compare_usage as ""Disk Usage (GB)"", pct_usage as ""Disk Usage (%)""","Jonathons-MacBook-Air.local","1536011209.380152",0,"UI:Dashboard:resource_usage_instance",0,1536011209,1,search7,0,completed,"0.057","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search8_1536011209.7148","search `dmc_set_index_introspection` sourcetype=splunk_resource_usage component=PerProcess host=Jonathons-MacBook-Air.local
        | `dmc_rename_introspection_fields`
        | `dmc_classify_processes`
        | `dmc_resource_usage_by_processes_timechart(mem_used, Median)`","Jonathons-MacBook-Air.local","1536011209.425049",0,"UI:Dashboard:resource_usage_instance",0,1536011210,0,search8,0,completed,"0.653","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search9_1536011209.7149","search `dmc_set_index_introspection` sourcetype=splunk_resource_usage component=PerProcess host=Jonathons-MacBook-Air.local
        | `dmc_rename_introspection_fields`
        | `dmc_classify_processes`
        | `dmc_resource_usage_by_processes_timechart(pct_cpu, Median)`","Jonathons-MacBook-Air.local","1536011209.430634",0,"UI:Dashboard:resource_usage_instance",0,1536011210,0,search9,0,completed,"0.23","1535996760.000000000","1536011209.000000000","1535996760.000000000","1536011209.000000000",,,,,,,,,,,,,,,,,
"admin__admin_c3BsdW5rX21vbml0b3JpbmdfY29uc29sZQ__search11_1536011210.7150","search `dmc_set_index_introspection` host=Jonathons-MacBook-Air.local sourcetype=splunk_disk_objects component=Partitions data.mount_point=""/""
        | eval free = if(isnotnull('data.available'), 'data.available', 'data.free')
        | eval usage = round(('data.capacity' - free) / 1024, 2)
        | eval capacity = round('data.capacity' / 1024, 2)
        | `dmc_timechart_for_disk_usage` latest(capacity) as Capacity Median(usage) as Usage","Jonathons-MacBook-Air.local","1536011210.161760",0,"UI:Dashboard:resource_usage_instance",24,1536011210,25,search11,24,completed,"0.192","1535996760.000000000","1536011210.000000000","1535996760.000000000","1536011210.000000000",,,,,,,,,,,,,,,,,
